      0.10     24.77  10841.30  20994.09  32523.91
      0.20     69.18   3832.98   7422.53  11498.94
      0.30    114.41   2086.41   4040.32   6259.23
      0.40    158.53   1355.16   2624.26   4065.49
      0.50    201.76    969.68   1877.77   2909.03
      0.60    244.20    737.66   1428.47   2212.97
      0.70    285.76    585.38   1133.57   1756.13
      0.80    326.11    479.12    927.82   1437.37
      0.90    364.86    401.53    777.56   1204.59
      1.00    401.58    342.83    663.89   1028.50
      1.10    434.87    297.16    575.45    891.48
      1.20    464.12    260.80    505.04    782.40
      1.30    491.55    231.30    447.90    693.89
      1.40    517.57    206.96    400.78    620.88
      1.50    542.44    186.61    361.38    559.84
      1.60    566.30    169.40    328.03    508.19
      1.70    589.22    154.67    299.52    464.01
      1.80    611.26    141.96    274.91    425.89
      1.90    632.42    130.90    253.49    392.71
      2.00    652.72    121.21    234.72    363.63
      2.10    672.14    112.66    218.16    337.97
      2.20    690.69    105.06    203.45    315.19
      2.30    708.36     98.29    190.33    294.86
      2.40    725.15     92.21    178.56    276.62
      2.50    741.07     86.73    167.95    260.19
      2.60    756.11     81.78    158.36    245.33
      2.70    770.28     77.27    149.64    231.82
      2.80    783.61     73.17    141.70    219.52
      2.90    796.10     69.42    134.43    208.26
      3.00    807.77     65.98    127.77    197.93
      3.10    818.66     62.81    121.63    188.43
      3.20    828.78     59.89    115.98    179.67
      3.30    838.16     57.19    110.75    171.57
      3.40    846.82     54.68    105.90    164.05
      3.50    854.80     52.36    101.39    157.07
      3.60    862.13     50.19     97.19    150.57
      3.70    868.83     48.17     93.28    144.51
      3.80    874.93     46.28     89.62    138.84
      3.90    880.48     44.51     86.20    133.54
      4.00    885.51     42.85     82.99    128.56
      4.10    890.03     41.30     79.97    123.89
      4.20    894.09     39.83     77.13    119.49
      4.30    897.71     38.45     74.46    115.35
      4.40    900.92     37.15     71.93    111.44
      4.50    903.75     35.91     69.55    107.74
      4.60    906.24     34.75     67.29    104.25
      4.70    908.38     33.65     65.16    100.94
      4.80    910.25     32.60     63.13     97.80
      4.90    911.83     31.61     61.21     94.82
      5.00    913.17     30.66     59.38     91.99
      5.10    914.29     29.77     57.64     89.30
      5.20    915.19     28.91     55.99     86.74
      5.30    915.92     28.10     54.41     84.29
      5.40    916.48     27.32     52.91     81.96
      5.50    916.90     26.58     51.47     79.74
      5.60    917.20     25.87     50.10     77.61
      5.70    917.40     25.19     48.78     75.58
      5.80    917.51     24.54     47.53     73.63
      5.90    917.54     23.92     46.33     71.77
      6.00    917.51     23.33     45.17     69.98
